lat_cell,lon_cell,Fatal,Serious,Slight,score,accidents
51.52,-0.21,6.0,269.0,2257.0,2813.0,2532.0
51.5,0.27,29.0,188.0,2347.0,2810.0,2564.0
50.8,-1.08,1.0,291.0,2207.0,2792.0,2499.0
51.88,-0.42,3.0,162.0,2457.0,2790.0,2622.0
51.52,-0.19,15.0,289.0,2164.0,2787.0,2468.0
51.38,-0.1,10.0,234.0,2286.0,2784.0,2530.0
52.58,-0.24,4.0,156.0,2447.0,2771.0,2607.0
51.52,-0.05,7.0,224.0,2299.0,2768.0,2530.0
52.48,-1.89,7.0,194.0,2353.0,2762.0,2554.0
51.51,-0.38,13.0,163.0,2396.0,2761.0,2572.0
51.48,-0.17,19.0,299.0,2100.0,2755.0,2418.0
51.52,0.06,10.0,200.0,2319.0,2749.0,2529.0
51.49,-0.11,13.0,358.0,1991.0,2746.0,2362.0
51.58,-0.1,16.0,226.0,2243.0,2743.0,2485.0
51.52,0.01,10.0,231.0,2248.0,2740.0,2489.0
53.39,-2.59,7.0,182.0,2347.0,2732.0,2536.0
51.49,-0.21,21.0,286.0,2097.0,2732.0,2404.0
51.56,-0.11,10.0,314.0,2074.0,2732.0,2398.0
51.48,-0.12,8.0,295.0,2106.0,2720.0,2409.0
51.51,-0.05,10.0,270.0,2144.0,2714.0,2424.0
51.48,-0.09,11.0,235.0,2210.0,2713.0,2456.0
52.92,-1.48,13.0,239.0,2195.0,2712.0,2447.0
51.48,-0.03,0.0,221.0,2267.0,2709.0,2488.0
51.51,-0.04,6.0,214.0,2261.0,2707.0,2481.0
51.51,-0.08,9.0,346.0,1986.0,2705.0,2341.0
51.56,-0.06,7.0,254.0,2175.0,2704.0,2436.0
53.37,-1.47,5.0,242.0,2187.0,2686.0,2434.0
51.5,-0.14,19.0,299.0,2028.0,2683.0,2346.0
51.53,-0.14,8.0,266.0,2125.0,2681.0,2399.0
51.49,-0.17,14.0,326.0,1980.0,2674.0,2320.0
51.54,-0.08,17.0,304.0,2014.0,2673.0,2335.0
52.46,-1.89,9.0,168.0,2309.0,2672.0,2486.0
52.46,-1.87,5.0,186.0,2280.0,2667.0,2471.0
51.03,-3.06,238.0,380.0,1182.0,2656.0,1800.0
51.51,-0.03,17.0,274.0,2050.0,2649.0,2341.0
50.91,-1.4,9.0,229.0,2158.0,2643.0,2396.0
53.48,-2.23,4.0,166.0,2299.0,2643.0,2469.0
51.42,-0.13,10.0,213.0,2186.0,2642.0,2409.0
53.81,-1.52,14.0,177.0,2241.0,2637.0,2432.0
51.5,-0.12,9.0,325.0,1938.0,2615.0,2272.0
51.49,-0.14,7.0,322.0,1920.0,2585.0,2249.0
51.45,-0.15,4.0,306.0,1951.0,2575.0,2261.0
53.41,-2.97,11.0,169.0,2201.0,2572.0,2381.0
54.98,-1.61,1.0,133.0,2299.0,2568.0,2433.0
53.65,-1.78,4.0,151.0,2246.0,2560.0,2401.0
51.55,-0.13,12.0,246.0,2031.0,2559.0,2289.0
51.39,-0.11,3.0,195.0,2140.0,2539.0,2338.0
51.51,-0.23,12.0,230.0,2033.0,2529.0,2275.0
51.44,-0.16,1.0,267.0,1984.0,2521.0,2252.0
52.95,-1.14,10.0,232.0,2023.0,2517.0,2265.0
50.83,-0.17,1.0,292.0,1930.0,2517.0,2223.0
51.66,-0.4,6.0,194.0,2108.0,2514.0,2308.0
51.51,-0.2,8.0,287.0,1912.0,2510.0,2207.0
53.76,-2.7,10.0,220.0,2023.0,2493.0,2253.0
51.62,-0.09,13.0,183.0,2088.0,2493.0,2284.0
53.54,-2.12,5.0,97.0,2277.0,2486.0,2379.0
51.49,-0.52,12.0,124.0,2195.0,2479.0,2331.0
53.39,-1.46,9.0,203.0,2046.0,2479.0,2258.0
51.48,-3.17,4.0,132.0,2179.0,2455.0,2315.0
51.61,-0.07,2.0,162.0,2122.0,2452.0,2286.0
54.05,-2.8,15.0,279.0,1848.0,2451.0,2142.0
51.53,-0.17,3.0,266.0,1910.0,2451.0,2179.0
53.37,-1.48,6.0,253.0,1924.0,2448.0,2183.0
53.79,-1.76,11.0,141.0,2132.0,2447.0,2284.0
53.8,-1.75,20.0,110.0,2164.0,2444.0,2294.0
50.84,-1.07,5.0,166.0,2094.0,2441.0,2265.0
51.53,-0.03,8.0,219.0,1965.0,2427.0,2192.0
51.47,-0.21,7.0,257.0,1890.0,2425.0,2154.0
53.76,-2.69,1.0,198.0,2021.0,2420.0,2220.0
52.64,-1.13,10.0,178.0,2028.0,2414.0,2216.0
53.4,-2.98,2.0,212.0,1963.0,2393.0,2177.0
51.46,-0.22,9.0,231.0,1901.0,2390.0,2141.0
53.52,-1.13,6.0,157.0,2045.0,2377.0,2208.0
51.83,-0.42,8.0,127.0,2099.0,2377.0,2234.0
51.61,-0.05,10.0,186.0,1972.0,2374.0,2168.0
51.43,-0.16,3.0,238.0,1887.0,2372.0,2128.0
51.49,0.07,2.0,219.0,1925.0,2369.0,2146.0
52.92,-1.47,4.0,157.0,2035.0,2361.0,2196.0
51.45,-2.6,15.0,227.0,1861.0,2360.0,2103.0
